,date,Energy_Consumption,LaRP,LeRP,LaPF,LePF,Duty,Emissions_Air_Quality_Metric,Date
0,1/1/2018 0:14,3.21,2.96,0,73.21,100,Low,105,1/1/2018
1,1/1/2018 0:30,3.95,4.46,0,66.78,100,Low,101,1/1/2018
2,1/1/2018 0:45,3.23,3.28,0,70.27,100,Low,94,1/1/2018
3,1/1/2018 0:59,3.33,3.56,0,68.1,100,Low,99,1/1/2018
4,1/1/2018 1:15,3.79,4.49,0,64.72,100,Low,109,1/1/2018
5,1/1/2018 1:30,3.26,3.55,0,67.75,100,Low,101,1/1/2018
6,1/1/2018 1:44,3.54,4.14,0,65.62,100,Low,91,1/1/2018
7,1/1/2018 2:00,3.67,4.3,0,64.36,100,Low,91,1/1/2018
8,1/1/2018 2:15,3.31,3.66,0,66.95,100,Low,104,1/1/2018
9,1/1/2018 2:29,3.75,4.73,0,62.5,100,Low,91,1/1/2018
11,1/1/2018 3:00,3.2,3.63,0,66.51,100,Low,98,1/1/2018
12,1/1/2018 3:14,3.96,4.98,0,62.34,100,Low,100,1/1/2018
13,1/1/2018 3:30,3.25,3.73,0,66.28,100,Low,98,1/1/2018
14,1/1/2018 3:45,3.36,3.87,0,65.21,100,Low,104,1/1/2018
15,1/1/2018 3:59,3.9,4.99,0,61.41,100,Low,92,1/1/2018
16,1/1/2018 4:15,3.3,3.81,0,65.14,100,Low,108,1/1/2018
17,1/1/2018 4:30,3.59,4.28,0,63.96,100,Low,93,1/1/2018
18,1/1/2018 4:44,3.78,4.54,0,63.6,100,Low,98,1/1/2018
19,1/1/2018 5:00,3.27,3.6,0,67.68,100,Low,108,1/1/2018
20,1/1/2018 5:15,3.58,4.09,0,65.85,100,Low,107,1/1/2018
21,1/1/2018 5:29,3.57,4.11,0,65.55,100,Low,93,1/1/2018
22,1/1/2018 5:45,3.29,3.5,0,68.48,100,Low,98,1/1/2018
23,1/1/2018 6:00,3.77,4.32,0,65.86,100,Low,106,1/1/2018
24,1/1/2018 6:14,3.41,3.65,0,67.73,100,Low,102,1/1/2018
25,1/1/2018 6:30,3.17,3.36,0,69.51,100,Low,100,1/1/2018
26,1/1/2018 6:45,3.95,4.46,0,65.72,100,Low,96,1/1/2018
27,1/1/2018 6:59,3.38,3.53,0,68.42,100,Low,101,1/1/2018
28,1/1/2018 7:15,3.29,3.49,0,68.48,100,Low,99,1/1/2018
29,1/1/2018 7:30,3.78,4.74,0,62.98,100,Low,99,1/1/2018
30,1/1/2018 7:44,3.14,3.6,0,66.45,100,Low,102,1/1/2018
31,1/1/2018 8:00,3.28,3.78,0,65.87,100,Low,95,1/1/2018
32,1/1/2018 8:15,3.82,4.74,0,62.28,100,Low,97,1/1/2018
33,1/1/2018 8:29,3.21,3.75,0,65.93,100,Low,101,1/1/2018
34,1/1/2018 8:45,3.49,4.47,0.18,61.64,99.88,Low,101,1/1/2018
35,1/1/2018 9:00,3.96,0,15.64,100,24.1,Low,99,1/1/2018
36,1/1/2018 9:14,3.54,0,16.95,100,20.78,Low,108,1/1/2018
37,1/1/2018 9:30,3.97,0,21.27,100,18.6,Low,94,1/1/2018
38,1/1/2018 9:59,3.64,0,16.89,100,21.08,Low,107,1/1/2018
39,1/1/2018 10:15,4.05,0,22.32,100,17.95,Low,107,1/1/2018
40,1/1/2018 10:30,3.76,0,18,100,20.18,Low,106,1/1/2018
41,1/1/2018 10:44,3.57,0,16.92,100,20.8,Low,93,1/1/2018
42,1/1/2018 11:00,4.25,0,23.41,100,17.71,Low,100,1/1/2018
43,1/1/2018 11:29,3.44,0,4.81,100,58.31,Low,103,1/1/2018
44,1/1/2018 11:45,3.94,0,6.71,100,51.25,Low,100,1/1/2018
45,1/1/2018 12:00,3.55,0,4.57,100,60.7,Low,103,1/1/2018
46,1/1/2018 12:14,3.59,0,12.89,100,26.91,Low,103,1/1/2018
47,1/1/2018 12:30,4.2,0,23.14,100,18.04,Low,106,1/1/2018
48,1/1/2018 12:45,3.62,0,16.67,100,21.49,Low,94,1/1/2018
49,1/1/2018 12:59,3.66,0,16.62,100,21.55,Low,91,1/1/2018
50,1/1/2018 13:15,4.24,0,23.33,100,17.91,Low,108,1/1/2018
51,1/1/2018 13:30,3.61,0,16.73,100,21.24,Low,97,1/1/2018
52,1/1/2018 13:44,3.63,0,16.99,100,21.12,Low,106,1/1/2018
53,1/1/2018 14:00,4.33,0,23.39,100,18,Low,96,1/1/2018
54,1/1/2018 14:15,3.65,0,16.67,100,21.32,Low,93,1/1/2018
55,1/1/2018 14:29,3.77,0,18.26,100,20.27,Low,97,1/1/2018
56,1/1/2018 14:45,4.07,0,22.09,100,18.24,Low,91,1/1/2018
57,1/1/2018 15:00,3.65,0,16.68,100,21.32,Low,97,1/1/2018
